"","word1","word2","freq"
"486","yet","i",10
"487","—","including",9
"488","able","get",9
"489","admit","i",9
"490","and","now",9
"491","another","one",9
"492","at","first",9
"493","bad","i",9
"494","believe","i",9
"495","blog","post",9
"496","came","back",9
"497","can","even",9
"498","can","read",9
"499","cant","even",9
"500","cell","phone",9
"501","city","council",9
"502","civil","war",9
"503","come","across",9
"504","coming","home",9
"505","did","know",9
"506","didnt","get",9
"507","dining","room",9
"508","district","court",9
"509","do","think",9
"510","doesnt","mean",9
"511","else","i",9
"512","end","year",9
"513","even","i",9
"514","everything","i",9
"515","federal","government",9
"516","feel","better",9
"517","find","way",9
"518","first","one",9
"519","first","round",9
"520","first","two",9
"521","for","information",9
"522","get","chance",9
"523","get","ready",9
"524","glad","i",9
"525","go","see",9
"526","going","i",9
"527","good","idea",9
"528","hall","fame",9
"529","hard","work",9
"530","heart","disease",9
"531","how","can",9
"532","i","agree",9
"533","i","began",9
"534","i","come",9
"535","i","feeling",9
"536","i","give",9
"537","i","let",9
"538","i","needed",9
"539","i","promise",9
"540","i","recently",9
"541","i","sat",9
"542","i","totally",9
"543","i","trying",9
"544","i","wouldn’t",9
"545","id","like",9
"546","im","glad",9
"547","im","happy",9
"548","it","may",9
"549","just","want",9
"550","last","weeks",9
"551","least","one",9
"552","let","go",9
"553","long","term",9
"554","lot","time",9
"555","made","feel",9
"556","make","way",9
"557","makes","sense",9
"558","man","i",9
"559","many","years",9
"560","may","well",9
"561","medical","center",9
"562","moving","forward",9
"563","much","like",9
"564","much","time",9
"565","my","mom",9
"566","need","know",9
"567","never","seen",9
"568","next","day",9
"569","one","another",9
"570","one","first",9
"571","past","years",9
"572","penn","state",9
"573","people","can",9
"574","percent","percent",9
"575","read","book",9
"576","really","enjoyed",9
"577","reason","i",9
"578","said","“i",9
"579","second","time",9
"580","seem","like",9
"581","she","also",9
"582","six","years",9
"583","so","excited",9
"584","something","like",9
"585","south","africa",9
"586","the","next",9
"587","the","reason",9
"588","the","report",9
"589","think","will",9
"590","this","week",9
"591","three","times",9
"592","us","know",9
"593","want","go",9
"594","want","see",9
"595","wanted","know",9
"596","we","also",9
"597","weight","loss",9
"598","were","going",9
"599","what","happened",9
